feedback_id,feedback_text,source,intern_department,internship_month
108,I had hoped to build a network but left without a single meaningful connection.,Comment,Finance,March
109,The tools we were given access to were outdated and made the work unnecessarily hard.,Comment,HR,January
110,The management team clearly had no plan for how to effectively utilize interns.,Comment,Data Science,February
111,I finished each day knowing exactly what I had accomplished and that felt great.,Comment,Software Engineering,March
112,The team trusted me with data that actually influenced a business decision made.,Comment,Marketing,January
113,My supervisor wrote me a glowing LinkedIn recommendation without me even asking.,Comment,Finance,February
114,The exposure to agile methodology and sprints was something I could not get elsewhere.,Comment,Data Science,March
115,I felt like a professional from week one and that mindset shift was everything.,Comment,HR,January
116,Working alongside senior data engineers taught me more than any course ever could.,Comment,Software Engineering,February
117,The company invested in a Coursera subscription for all interns which was thoughtful.,Comment,Marketing,March
118,I loved the Friday retrospectives where we openly discussed what worked and what did not.,Comment,Finance,January
119,The transparency of leadership made me feel safe to ask questions and make mistakes.,Comment,Data Science,February
120,I am leaving this internship with a job offer and it is the best outcome I could ask for.,Comment,HR,March
